"Transaction_ID,Product_Key,Supplier_Key,Date_Key,Quantity_Sold,Quantity_Ordered,Actual_Lead_Time_Days"
"TXN000001,P002,S01,20250413,42,122,8"
"TXN000002,P003,S01,20260312,65,107,5"
"TXN000003,P004,S01,20250928,69,126,6"
"TXN000004,P005,S02,20250417,71,68,3"
"TXN000005,P002,S03,20250313,50,111,6"
"TXN000006,P003,S02,20261202,76,120,10"
"TXN000007,P004,S04,20250121,47,187,20"
"TXN000008,P004,S02,20260907,63,74,4"
"TXN000009,P001,S01,20250502,50,176,8"
"TXN000010,P001,S02,20260412,76,107,4"
"TXN000011,P002,S01,20250803,39,169,9"
"TXN000012,P001,S02,20251127,43,160,3"
"TXN000013,P002,S01,20260404,55,125,6"
"TXN000014,P005,S04,20250329,8,119,25"
"TXN000015,P002,S01,20260108,55,187,4"
"TXN000016,P001,S02,20250410,9,115,6"
"TXN000017,P005,S04,20261026,59,169,23"
"TXN000018,P001,S02,20250511,24,136,2"
"TXN000019,P002,S04,20261024,28,188,22"
"TXN000020,P003,S03,20251105,40,171,5"
"TXN000021,P004,S03,20251210,38,98,8"
"TXN000022,P001,S03,20260507,58,97,4"
"TXN000023,P002,S02,20260218,38,164,3"
"TXN000024,P005,S02,20260121,21,136,4"
"TXN000025,P001,S04,20250711,9,56,16"
"TXN000026,P001,S04,20251004,22,126,18"
"TXN000027,P004,S04,20250610,59,194,17"
"TXN000028,P002,S04,20260405,57,170,10"
"TXN000029,P003,S01,20251110,54,173,5"
"TXN000030,P005,S03,20250122,76,199,6"
"TXN000031,P002,S01,20250910,49,190,5"
"TXN000032,P005,S01,20260715,17,174,6"
"TXN000033,P001,S01,20260420,20,61,6"
"TXN000034,P004,S01,20250228,17,120,3"
"TXN000035,P004,S03,20260526,24,50,5"
"TXN000036,P003,S01,20261113,70,168,6"
"TXN000037,P004,S04,20260421,51,191,18"
"TXN000038,P001,S02,20261201,23,160,3"
"TXN000039,P003,S04,20250709,49,113,23"
"TXN000040,P002,S02,20261118,41,92,4"
"TXN000041,P004,S04,20260717,58,90,14"
"TXN000042,P003,S04,20260721,10,164,19"
"TXN000043,P001,S02,20250901,18,88,5"
"TXN000044,P005,S03,20260520,8,50,7"
"TXN000045,P005,S01,20250511,59,90,7"
"TXN000046,P001,S04,20260430,38,137,21"
"TXN000047,P001,S03,20261009,31,147,5"
"TXN000048,P005,S01,20250121,11,137,7"
"TXN000049,P003,S03,20250616,7,128,2"
"TXN000050,P005,S03,20251001,51,190,8"
"TXN000051,P001,S01,20260123,6,120,5"
"TXN000052,P004,S04,20260824,29,186,26"
"TXN000053,P002,S03,20251112,64,148,8"
"TXN000054,P004,S04,20250114,28,136,18"
"TXN000055,P004,S04,20250830,19,50,19"
"TXN000056,P001,S04,20251212,18,191,23"
"TXN000057,P005,S01,20260719,58,161,2"
"TXN000058,P003,S02,20251206,10,123,5"
"TXN000059,P004,S04,20250402,22,114,25"
"TXN000060,P005,S02,20260102,24,118,7"
"TXN000061,P003,S02,20260331,66,116,4"
"TXN000062,P004,S03,20260304,44,99,6"
"TXN000063,P003,S04,20260524,43,107,15"
"TXN000064,P005,S04,20250204,56,102,17"
"TXN000065,P002,S04,20250725,36,140,20"
"TXN000066,P005,S02,20250322,77,164,7"
"TXN000067,P001,S01,20260716,31,167,7"
"TXN000068,P003,S02,20260123,56,106,8"
"TXN000069,P002,S04,20250102,67,135,14"
"TXN000070,P003,S04,20260125,78,67,19"
"TXN000071,P003,S04,20260720,67,65,15"
"TXN000072,P004,S02,20250416,21,179,5"
"TXN000073,P001,S04,20260422,53,62,15"
"TXN000074,P003,S03,20261204,27,129,6"
"TXN000075,P005,S04,20260206,76,92,23"
"TXN000076,P005,S01,20261231,17,103,8"
"TXN000077,P004,S03,20260710,27,186,3"
"TXN000078,P001,S04,20250611,61,122,18"
"TXN000079,P001,S03,20250721,66,97,3"
"TXN000080,P005,S04,20250927,58,67,14"
"TXN000081,P002,S01,20250928,24,60,4"
"TXN000082,P004,S04,20260401,56,133,20"
"TXN000083,P004,S03,20260407,27,68,7"
"TXN000084,P005,S01,20261228,39,149,7"
"TXN000085,P005,S02,20250909,71,165,7"
"TXN000086,P002,S01,20261203,38,139,4"
"TXN000087,P002,S01,20251023,37,123,8"
"TXN000088,P001,S01,20261226,50,73,7"
"TXN000089,P004,S03,20261221,49,62,5"
